1271,bayonetta
1272,bowser jr
1273,bowser
1274,cf
1275,cloud
1276,corrin
1277,daisy
1278,dark pit
1279,diddy
1280,dk
1282,doc
1283,duck hunt
1285,falco
1286,fox
1287,ganondorf
1289,greninja
1290,ice climbers
1291,ike
1292,inkling
1293,jigglypuff
1294,dedede
1295,kirby
1296,link
1297,little mac
1298,lucario
1299,lucas
1300,lucina
1301,luigi
1302,mario
1304,marth
1305,megaman
1307,mk
1310,mewtwo
1311,mii fighters
1313,ness
1314,olimar
1315,pacman
1316,palutena
1317,peach
1318,pichu
1319,pikachu
1320,pit
1321,pokemon trainer
1322,ridley
1323,rob
1324,robin
1325,rosalina
1326,roy
1327,ryu
1328,samus
1329,sheik
1330,shulk
1331,snake
1332,sonic
1333,toon link
1334,villager
1335,wario
1336,wii fit trainer
1337,wolf
1338,yoshi
1339,young link
1340,zelda
1341,zss
1405,gaw
1406,incineroar
1407,kkr
1408,dark samus
1409,chrom
1410,ken
1411,simon
1412,richter
1413,isabelle
1414,mii swordfighter 
1415,mii gunner
1441,plant
1453,joker
1526,hero
1530,banjo
1532,terry
1539,byleth
1746,random
1747,minmin
1766,steve
1777,sephiroth
1795,pyra
