27,mario
28,luigi
29,peach
30,bowser
31,doc
32,yoshi
33,dk
34,diddy
35,link
36,zelda
37,sheik
38,ganon
39,toon link
40,samus
41,zss
42,kirby
43,mk
44,dedede
45,fox
46,falco
47,pikachu
48,jigglypuff
49,mewtwo
50,charizard
51,lucario
52,cf
53,ness
54,lucas
55,marth
56,roy
57,ike
58,gw
59,pit
60,wario
61,olimar
62,rob
63,sonic
64,rosalina
65,bowser jr
66,greninja
67,robin
68,lucina
69,palutena
70,dark pit
71,villager
72,little mac
73,wii fit trainer
74,shulk
75,duck hunt
76,mega man
77,pac-man
78,ryu
80,cloud
81,corrin
82,bayonetta
