92,Battlefield
93,Big Blue
94,Brinstar
95,Castle Siege
96,Corneria
97,Hanenbow
98,Dream Land
99,Distant Planet
100,Final Destination
101,Flat Zone 2
102,Fountain of Dreams
103,Fourside
104,Frigate Orpheon
105,Green Hill Zone
106,Halberd
107,Hyrule Castle
108,Kongo Jungle
109,Peach's Castle
110,Lylat Cruise
111,Metal Cavern
112,Norfair
113,Onett
114,Pictochat
115,Pirate Ship
116,Pokémon Stadium 2
117,Rumble Falls
118,Saffron City
119,Shadow Moses Island
120,Skyworld
121,Smashville
122,Infinite Glacier
123,Temple
124,Training Room
125,Wario Land
126,Yoshi's Island
127,Yoshi's Story
128,Port Town Aero Dive
129,Luigi's Mansion
130,Delfino's Secret
131,Bowser's Castle
132,Jungle Japes
133,Spear Pillar
